position,driver,points
1,Red Bull Racing Honda RBPT,437.0
2,McLaren Mercedes,374.0
3,CharlesLeclercLEC,356.0
4,McLaren Mercedes,292.0
5,CarlosSainzSAI,290.0
6,GeorgeRussellRUS,245.0
7,LewisHamiltonHAM,223.0
8,Red Bull Racing Honda RBPT,152.0
9,Aston Martin Aramco Mercedes,70.0
10,PierreGaslyGAS,42.0
11,NicoHulkenbergHUL,41.0
12,YukiTsunodaTSU,30.0
13,Aston Martin Aramco Mercedes,24.0
14,EstebanOconOCO,23.0
15,KevinMagnussenMAG,16.0
16,AlexanderAlbonALB,12.0
17,DanielRicciardoRIC,12.0
18,OliverBearmanBEA,7.0
19,FrancoColapintoCOL,5.0
20,Kick Sauber Ferrari,4.0
